jet_pt0,jet_pt1,jet_pt2,jet_pt3,jet_eta0,jet_eta1,jet_eta2,jet_eta3,jet_phi0,jet_phi1,jet_phi2,jet_phi3,jet_mass0,jet_mass1,jet_mass2,jet_mass3,jet_btag0,jet_btag1,jet_btag2,jet_btag3,jet_tautag0,jet_tautag1,jet_tautag2,jet_tautag3,missinget_met,missinget_phi
469.38986,255.54778,191.56778,188.63211,0.44824007,1.0061783,-0.45548895,2.5807602,-2.5059106,0.23064765,0.080336474,1.9265316,10.911261,46.759754,20.101536,31.235538,0,0,0,1,0,0,0,0,14.495828,2.5091586
319.2393,267.54468,153.60434,103.610146,-1.0418569,-0.7167339,-0.7547152,1.47612,-1.2440597,1.4847075,1.9974139,-2.766042,26.479776,10.543396,11.220486,10.104844,0,0,0,0,0,0,0,0,7.5516777,3.0866928
440.5844,377.93173,193.56535,122.26346,-0.30816698,-0.43482783,2.0248785,-0.55559033,-1.0269392,2.3828585,0.26921204,1.9262339,47.449894,17.183416,21.81405,10.867392,0,0,0,0,0,0,0,0,19.7167,-2.6659443
73.19885,68.21925,55.683514,44.34888,0.9068435,-0.18729757,1.3927028,0.99485356,-2.8624444,0.32224318,0.009081812,2.9020903,7.5094023,9.572695,10.130625,10.074545,0,0,0,0,0,0,0,0,3.1502354,2.6962686
1035.6693,645.5517,331.90814,311.19092,0.031416602,1.079182,0.41422284,-0.4512152,-0.644232,2.9626744,1.6730311,1.7256993,118.09515,12.295957,12.071668,18.464788,0,0,2,0,0,0,0,0,23.614908,-2.1398418
1028.7329,824.9726,568.81006,144.99568,-0.45614597,-0.41320455,-0.3906888,3.0637546,-2.6574032,0.059923843,0.7188432,2.776191,62.01317,109.56205,43.191494,22.503426,0,0,0,0,0,0,0,0,15.016062,-0.6991504
108.61716,103.64827,41.716637,38.611298,0.77140224,0.6180517,0.18519899,0.86991113,-2.3805852,1.526234,-0.2582342,-0.48476374,13.428822,11.923645,11.582058,8.156198,0,0,0,0,0,0,0,0,2.7436383,2.0042944
406.67102,339.9131,107.08054,88.4335,-0.7363555,0.7196655,0.4617179,0.41532043,-1.4839631,2.0433862,2.409563,1.2685933,26.370527,29.761688,12.751028,14.969323,0,0,0,0,0,0,0,0,116.10193,-1.48745
54.382248,47.794132,42.71643,30.54175,0.7285215,-1.089077,0.8616363,1.576032,-1.175223,-0.5700108,1.5266818,2.9226723,10.702252,12.202901,9.697985,7.819828,0,0,0,0,0,0,0,0,5.83966,-0.4732205
312.94736,199.726,117.196045,89.53627,-0.11961195,-1.0230024,0.5356474,-0.76620525,-0.59696084,2.2900825,2.448178,2.8723717,28.947197,25.56992,13.738267,20.594946,0,0,0,0,0,0,0,0,105.63064,-0.6222014
769.0341,684.90814,374.70453,136.96362,0.6335528,0.96828914,-0.70933723,1.7104894,0.90281826,-2.612445,-0.53770036,-3.055151,50.205402,106.599396,9.961909,18.013685,0,3,0,0,0,0,0,0,68.27161,-2.5609689
137.26575,83.02879,67.29351,63.46835,-0.40539768,-1.6457791,-1.0351048,-0.8098987,0.703136,-2.2212305,-2.996011,-0.6174707,11.186058,9.265055,10.262558,10.94404,0,0,0,0,0,0,0,0,6.384218,-2.0773017
261.9816,221.71994,126.35919,118.85449,-0.40208405,-1.126706,0.5501269,-2.8593075,2.8686118,-0.31116813,-0.38187712,1.5847852,13.441472,26.222095,15.627523,23.390337,0,0,0,0,0,0,0,0,22.372503,-0.19647263
216.41081,189.52069,121.224525,108.7288,-0.23869757,-1.362147,-0.1791895,0.14470151,0.40056822,-1.9114181,1.000258,2.8783517,19.373611,31.713627,14.732377,14.581137,1,0,3,0,0,0,0,0,10.070884,-2.906715
1118.8992,786.62946,579.51276,346.28525,1.0658123,-0.33114493,-1.265532,1.8500649,1.9652511,-1.4209284,-0.007801845,-2.3624032,66.00761,93.56351,33.003258,35.309723,0,0,0,0,0,0,0,0,81.26972,-0.41579008
124.34113,105.04783,70.088745,42.99912,2.2659533,1.311922,0.8469821,1.9948413,-0.19760945,2.0108738,-2.7710168,-1.6074196,26.126913,10.785176,13.430248,5.393516,0,0,0,3,0,0,0,0,1.0124493,-1.6697948
